#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
102 Dalmatians - Puppies to the Rescue (USA);102 Dalmatians - Puppies to the Rescue (USA);Sega Dreamcast;;2000;Eidos Interactive;Platform;;;;;0;;;;;
18 Wheeler - American Pro Trucker (USA);18 Wheeler - American Pro Trucker (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
4 Wheel Thunder (USA);4 Wheel Thunder (USA);Sega Dreamcast;;2000;Midway;Driving;;;;;0;;;;;
4x4 Evolution (USA);4x4 Evolution (USA);Sega Dreamcast;;2000;Gathering;Driving;;;;;0;;;;;
90 Minutes - Sega Championship Football (Europe);90 Minutes - Sega Championship Football (Europe);Sega Dreamcast;;2001;Sega;Soccer/Sports;;;;;0;;;;;
Advanced Daisenryaku 2001 (Japan);Advanced Daisenryaku 2001 (Japan);Sega Dreamcast;;2001;Sega;Strategy;;;;;0;;;;;
AeroWings (USA);AeroWings (USA);Sega Dreamcast;;1999;Crave;Flying;;;;;0;;;;;
AeroWings 2 - Air Strike (USA);AeroWings 2 - Air Strike (USA);Sega Dreamcast;;2000;Crave;Flying;;;;;0;;;;;
AirForce Delta (USA);AirForce Delta (USA);Sega Dreamcast;;1999;Konami;Flying;;;;;0;;;;;
Alien Front Online (USA);Alien Front Online (USA);Sega Dreamcast;;2001;Sega;Shooter;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 1);Alone in the Dark - The New Nightmare (USA) (Disc 1);Sega Dreamcast;;2001;Infogrames;Adventure;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 2);Alone in the Dark - The New Nightmare (USA) (Disc 2);Sega Dreamcast;;2001;Infogrames;Adventure;;;;;0;;;;;
Aqua GT (Europe);Aqua GT (Europe);Sega Dreamcast;;2000;Take-Two Interactive;Driving;;;;;0;;;;;
Armada (USA);Armada (USA);Sega Dreamcast;;1999;Metro3D;Shooter;;;;;0;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sega Dreamcast;;2000;Midway;Shooter;;;;;0;;;;;
Atari Anniversary Edition (USA);Atari Anniversary Edition (USA);Sega Dreamcast;;2001;Infogrames;Miscellaneous;;;;;0;;;;;
BANG! Gunship Elite (USA);BANG! Gunship Elite (USA);Sega Dreamcast;;2000;Red Storm Entertainment;Shooter;;;;;0;;;;;
Bangai-O (USA);Bangai-O (USA);Sega Dreamcast;;2001;Conspiracy Entertainment;Shoot-'Em-Up;;;;;0;;;;;
Blue Stinger (USA);Blue Stinger (USA);Sega Dreamcast;;1999;Sega;Adventure;;;;;0;;;;;
Boku no Tennis Jinsei (Japan);Boku no Tennis Jinsei (Japan);Sega Dreamcast;;2001;Bimboosoft;Sports/Tennis;;;;;0;;;;;
Bomberman Online (USA);Bomberman Online (USA);Sega Dreamcast;;2001;Sega;Strategy;;;;;0;;;;;
Border Down (Japan);Border Down (Japan);Sega Dreamcast;;2003;G.Rev;Shoot-'Em-Up;;;;;0;;;;;
Bust-A-Move 4 (USA);Bust-A-Move 4 (USA);Sega Dreamcast;;2000;Acclaim;Puzzle;;;;;0;;;;;
Buzz Lightyear of Star Command (USA);Buzz Lightyear of Star Command (USA);Sega Dreamcast;;2000;Activision;Platform;;;;;0;;;;;
Caesars Palace 2000 - Millennium Gold Edition (USA);Caesars Palace 2000 - Millennium Gold Edition (USA);Sega Dreamcast;;2000;Interplay;Casino;;;;;0;;;;;
Cannon Spike (USA);Cannon Spike (USA);Sega Dreamcast;;2000;Capcom;Shooter;;;;;0;;;;;
Capcom vs. SNK (USA);Capcom vs. SNK (USA);Sega Dreamcast;;2000;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK - Millennium Fight 2000 Pro (Japan);Capcom vs. SNK - Millennium Fight 2000 Pro (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan);Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK 2 Fan Disc (Japan);Capcom vs. SNK 2 Fan Disc (Japan);Sega Dreamcast;;1991;Capcom;Miscellaneous;;;;;0;;;;;
Carrier (USA);Carrier (USA);Sega Dreamcast;;2000;Jaleco Entertainment;Adventure;;;;;0;;;;;
Castle Shikigami 2 (Japan);Castle Shikigami 2 (Japan);Sega Dreamcast;;2004;Media Quest;Shoot-'Em-Up;;;;;0;;;;;
Centipede (USA);Centipede (USA);Sega Dreamcast;;1999;Hasbro Interactive;Shooter;;;;;0;;;;;
Championship Surfer (USA);Championship Surfer (USA);Sega Dreamcast;;2000;Mattel;Sports/Surfing;;;;;0;;;;;
Chaos Field (Japan);Chaos Field (Japan);Sega Dreamcast;;2004;MileStone Inc.;Shoot-'Em-Up;;;;;0;;;;;
Charge 'N Blast (USA);Charge 'N Blast (USA);Sega Dreamcast;;2001;Xicat Interactive;Shooter;;;;;0;;;;;
Chicken Run (USA);Chicken Run (USA);Sega Dreamcast;;2000;Eidos Interactive;Adventure;;;;;0;;;;;
Chu Chu Rocket! (USA);Chu Chu Rocket! (USA);Sega Dreamcast;;2000;Sega;Strategy;;;;;0;;;;;
Cleopatra Fortune (Japan);Cleopatra Fortune (Japan);Sega Dreamcast;;2001;Altron;Puzzle;;;;;0;;;;;
Coaster Works (USA);Coaster Works (USA);Sega Dreamcast;;2000;Xicat Interactive;Strategy;;;;;0;;;;;
Confidential Mission (USA);Confidential Mission (USA);Sega Dreamcast;;2001;Sega;Gun;;;;;0;;;;;
Conflict Zone - Modern War Strategy (USA);Conflict Zone - Modern War Strategy (USA);Sega Dreamcast;;2001;Ubisoft;Strategy;;;;;0;;;;;
Cool Cool Toon (Japan);Cool Cool Toon (Japan);Sega Dreamcast;;2000;SNK;Rhythm;;;;;0;;;;;
Cosmic Smash (Japan);Cosmic Smash (Japan);Sega Dreamcast;;2001;Sega;Sports;;;;;0;;;;;
Crazy Taxi (USA);Crazy Taxi (USA);Sega Dreamcast;;2000;Sega;Driving;;;;;0;;;;;
Crazy Taxi 2 (USA);Crazy Taxi 2 (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
D2 (USA) (Disc 1);D2 (USA) (Disc 1);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 2);D2 (USA) (Disc 2);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 3);D2 (USA) (Disc 3);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 4);D2 (USA) (Disc 4);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
DUX (Japan);DUX (Japan);Sega Dreamcast;;2009;HUCAST;Shoot-'Em-Up;;;;;0;;;;;
Dance Dance Revolution 2nd Mix (Japan);Dance Dance Revolution 2nd Mix (Japan);Sega Dreamcast;;2000;Konami;Rhythm;;;;;0;;;;;
Dance Dance Revolution Club Mix (Japan);Dance Dance Revolution Club Mix (Japan);Sega Dreamcast;;2000;Konami;Rhythm;;;;;0;;;;;
Dave Mirra Freestyle BMX (USA);Dave Mirra Freestyle BMX (USA);Sega Dreamcast;;2000;Acclaim;Biking/Sports;;;;;0;;;;;
Daytona USA (USA);Daytona USA (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
Dead or Alive 2 (USA);Dead or Alive 2 (USA);Sega Dreamcast;;2000;Tecmo;Fighter;;;;;0;;;;;
Dead or Alive 2 - Limited Edition (Japan);Dead or Alive 2 - Limited Edition (Japan);Sega Dreamcast;;2000;Tecmo;Fighter;;;;;0;;;;;
Death Crimson OX (USA);Death Crimson OX (USA);Sega Dreamcast;;2001;Sammy Studios;Gun;;;;;0;;;;;
Deep Fighter (USA) (Disc 1);Deep Fighter (USA) (Disc 1);Sega Dreamcast;;2000;Ubisoft;Simulation;;;;;0;;;;;
Deep Fighter (USA) (Disc 2);Deep Fighter (USA) (Disc 2);Sega Dreamcast;;2000;Ubisoft;Simulation;;;;;0;;;;;
Demolition Racer - No Exit (USA);Demolition Racer - No Exit (USA);Sega Dreamcast;;2000;Infogrames;Driving;;;;;0;;;;;
Dino Crisis (USA);Dino Crisis (USA);Sega Dreamcast;;2000;Capcom;Adventure;;;;;0;;;;;
Disney's Dinosaur (USA);Disney's Dinosaur (USA);Sega Dreamcast;;2000;Ubisoft;Adventure;;;;;0;;;;;
Disney's Donald Duck - Goin' Quackers (USA);Disney's Donald Duck - Goin' Quackers (USA);Sega Dreamcast;;2000;Ubisoft;Platform;;;;;0;;;;;
Draconus - Cult of the Wyrm (USA);Draconus - Cult of the Wyrm (USA);Sega Dreamcast;;2000;Crave;Adventure;;;;;0;;;;;
Dragon Riders - Chronicles of Pern (USA);Dragon Riders - Chronicles of Pern (USA);Sega Dreamcast;;2001;Ubisoft;Role-Playing;;;;;0;;;;;
Ducati World Racing Challenge (USA);Ducati World Racing Challenge (USA);Sega Dreamcast;;2001;Acclaim;Driving;;;;;0;;;;;
Dynamite Cop! (USA);Dynamite Cop! (USA);Sega Dreamcast;;1999;Sega;Beat-'Em-Up;;;;;0;;;;;
